cod_cliente;fecha_exp;numero_tarjeta_masked;numero_tarjeta_hash
C001;2026-09;XXXX-XXXX-XXXX-9012;7a2e2e1ab862bde82c544ca0fd411ecd46efbc434651195f7ed65a7d953d9150
C002;2027-03;XXXX-XXXX-XXXX-0004;a0556469c947ebaac5b633aeee5d2b05a5e30af047455c011faff3a81d0e4cdd
C004;2025-12;XXXX-XXXX-XXXX-0005;fe166d54bc97cdff2f236e82fd84dee64272d2df3f158c81c6f35fb5e036d367
C005;2026-09;XXXX-XXXX-XXXX-9005;ee56fce3348337cbf94a9c4814ea23bfa0887e998b06c75abf44811e1f3fe21e
C006;2028-12;XXXX-XXXX-XXXX-9006;124713a8f9445e9e20fef655eb5f3dbd43bb6d745e2a46a59d4a1bd4cadd6c7d
C007;2027-08;XXXX-XXXX-XXXX-9007;a12ef16865d3e350f64f6592a303c4f3d10b19c590caa04720d6a78697c623f4
C008;2026-05;XXXX-XXXX-XXXX-9008;4fc890d90bbf9901a363b01fc71bd4b16f011190e1b0035faefdd0f8d66952dc
C009;2028-10;XXXX-XXXX-XXXX-9009;3c0c85dbd818c68716a625ee3bcee7dd2c03103bf55acfc3d77f60bfea0718a9
C010;2027-02;XXXX-XXXX-XXXX-9010;bcb96d924edc5e672606ae62a3a495a4ac2311944a49e84951175244d0ca1897
C011;2026-07;XXXX-XXXX-XXXX-9011;cd84b87425b5fe582dceca5332abe30972d7bb02b9906d776e4c85bb16eeec82
C012;2028-04;XXXX-XXXX-XXXX-9012;7a2e2e1ab862bde82c544ca0fd411ecd46efbc434651195f7ed65a7d953d9150
C013;2027-09;XXXX-XXXX-XXXX-9013;916e27fa21530a65256c3f25fd63d1f51ef99908e78c7167c1fd89daf20c9a44
C014;2026-12;XXXX-XXXX-XXXX-9014;e3e0cac2564059fa4391253cbdffd449735630621d3cdbf2bba427cab281582c
C015;2028-06;XXXX-XXXX-XXXX-9015;c5dec18a05763b224a622b65325af405ff5f5f166cb9aad8d424422fa7d56932
C016;2027-01;XXXX-XXXX-XXXX-9016;2f46cb1b7b5b70fa78c4e394d8244d4a51cf076be401dbc2d05ecafa4882dedf
C017;2026-08;XXXX-XXXX-XXXX-9017;af118958b8a976af76d2de02a97eb0581b5e38095c17584e072da7857f031870
C018;2028-03;XXXX-XXXX-XXXX-9018;f83895137602ede54c6673165abd81fc1be3e6eb34ca5aebc06a47799dab5148
C019;2027-11;XXXX-XXXX-XXXX-9019;9124e61d7f4f004fb26dc89f0843a4d133662e04011e0b595538fd01634676e9
C020;2026-10;XXXX-XXXX-XXXX-9020;6bf836a7d2745628e28a83b2bc54f39ec6445eef47828c3a2bbb0d14a4de8128
C021;2028-05;XXXX-XXXX-XXXX-9021;efd0eb864fd56897879ff3aff418075fadc210130c5c28592f372fc20abc8c88
C022;2027-04;XXXX-XXXX-XXXX-9022;65e3ee41aa90ddafc6c68a9fd5bd41afcebc3158177c8bd988ea995d3454fd22
C023;2026-06;XXXX-XXXX-XXXX-9023;7eb6c3d5371e20f29bdf1f506c147e373d6f02217c47333fe7178274edd06081
C024;2028-09;XXXX-XXXX-XXXX-9024;e54ec87a1198a5e24e8df7770e0bfcf1019fefaf0f4b5e970e3100b18eccde7b
C025;2027-12;XXXX-XXXX-XXXX-9025;9e0bee083e0cbe7be25d671db153b23d58ca41db1d5ab1e73c623d7f88cdf683
C003;2029-02;XXXX-XXXX-XXXX-0003;954e94cd6b3015b6cdec53412008995912d1add93d58a3355274c3f5d478c2c4
C007;2029-03;XXXX-XXXX-XXXX-0007;3bf75318279885d2bd5046fef42719c9504b51ed65237e28128276bedd2a2497
C010;2029-04;XXXX-XXXX-XXXX-0010;5152f5747d61ea629c223292335c3343a73da87dc67127cbed7c0f7aed23db05
C015;2029-05;XXXX-XXXX-XXXX-0015;67c45812c48daeba2aa71786e62cdc30367103f383c23690866753eaccf98ae7
C020;2029-06;XXXX-XXXX-XXXX-0020;90992740a68a5a5c350818177bb16aa2018eb537c5770d973f5b38160632d48e
